att_D_AD_1.M35115.Oligo,att_D_AD_2.M35115.Micro,att_D_AD_2.M35594.Micro,att_D_AD_2.M35115.Oligo,att_D_AD_2.M35594.Oligo,att_D_SCZ_2.M35115.Oligo,att_D_no_prior_0.M35594.OPC,att_D_no_prior_2.M35594.OPC,att_D_AD_1,att_D_AD_2,att_D_SCZ_1,att_D_SCZ_2,att_D_no_prior_0,att_D_no_prior_1,att_D_no_prior_2,att_D_no_prior_3,_BACKGROUND
,,,,,,,,,,,,,,,,LAMB2
,,,,,,,,,,,,,,,,LAMC1
,,,,,,,,,,,,,,,,LAMC3
,,,,,,,,,,,,,,,,LAMP2
,,,,,,,,,,,,,,,,LANCL1-AS1
,,,,,,,,,,,,,,,,LAP3
,,,,,,,,,,,,,,,,LAPTM4A
,,,,,,,,,,,,,,,,LAPTM5
,,,,,,,,,,,,,,,,LARP1
,,,,,,,,,,,,,,,,LARP4
,,,,,,,,,,,,,,,,LAS1L
,,,,,,,,,,,,,,,,LAT2
,,,,,,,,,,,,,,,,LATS2
,,,,,,,,,,,,,,,,LAYN
,,,,,,,,,,,,,,,,LBH
,,,,,,,,,,,,,,,,LBX2
,,,,,,,,,,,,,,,,LCAT
,,,,,,,,,,,,,,,,LCNL1
,,,,,,,,,,,,,,,,LCOR
,,,,,,,,,,,,,,,,LCORL
,,,,,,,,,,,,,,,,LCP1
,,,,,,,,,,,,,,,,LCP2
,,,,,,,,,,,,,,,,LDB1
,,,,,,,,,,,,,,,,LDB2
,,,,,,,,,,,,,,,,LDB3
,,,,,,,,,,,,,,,,LDLR
,,,,,,,,,,,,,,,,LDLRAD3
,,,,,,,,,,,,,,,,LDLRAD4
,,,,,,,,,,,,,,,,LDLRAP1
,,,,,,,,,,,,,,,,LEF1
,,,,,,,,,,,,,,,,LEKR1
,,,,,,,,,,,,,,,,LENG9
,,,,,,,,,,,,,,,,LEPR
,,,,,,,,,,,,,,,,LFNG
,,,,,,,,,,,,,,,,LGALS1
,,,,,,,,,,,,,,,,LGALS3
,,,,,,,,,,,,,,,,LGALS3BP
,,,,,,,,,,,,,,,,LGALS9
,,,,,,,,,,,,,,,,LGI1
,,,,,,,,,,,,,,,,LGI3
,,,,,,,,,,,,,,,,LGMN
,,,,,,,,,,,,,,,,LGR4
,,,,,,,,,,,,,,,,LGR5
,,,,,,,,,,,,,,,,LGR6
,,,,,,,,,,,,,,,,LHFPL2
,,,,,,,,,,,,,,,,LHFPL3
,,,,,,,,,,,,,,,,LHFPL3-AS1
,,,,,,,,,,,,,,,,LHFPL3-AS2
,,,,,,,,,,,,,,,,LHX1
,,,,,,,,,,,,,,,,LHX2
,,,,,,,,,,,,,,,,LHX4
,,,,,,,,,,,,,,,,LHX6
,,,,,,,,,,,,,,,,LILRB1
,,,,,,,,,,,,,,,,LILRB3
,,,,,,,,,,,,,,,,LILRB4
,,,,,,,,,,,,,,,,LIMD1
,,,,,,,,,,,,,,,,LIMK2
,,,,,,,,,,,,,,,,LIMS1
,,,,,,,,,,,,,,,,LIMS2
,,,,,,,,,,,,,,,,LIN28A
,,,,,,,,,,,,,,,,LIN28B
,,,,,,,,,,,,,,,,LINC00032
,,,,,,,,,,,,,,,,LINC00159
,,,,,,,,,,,,,,,,LINC00200
,,,,,,,,,,,,,,,,LINC00240
,,,,,,,,,,,,,,,,LINC00271
,,,,,,,,,,,,,,,,LINC00276
,,,,,,,,,,,,,,,,LINC00278
,,,,,,,,,,,,,,,,LINC00290
,,,,,,,,,,,,,,,,LINC00298
,,,,,,,,,,,,,,,,LINC00299
,,,,,,,,,,,,,,,,LINC00320
,,,,,,,,,,,,,,,,LINC00326
,,,,,,,,,,,,,,,,LINC00351
,,,,,,,,,,,,,,,,LINC00378
,,,,,,,,,,,,,,,,LINC00463
,,,,,,,,,,,,,,,,LINC00467
,,,,,,,,,,,,,,,,LINC00484
,,,,,,,,,,,,,,,,LINC00499
,,,,,,,,,,,,,,,,LINC00504
,,,,,,,,,,,,,,,,LINC00507
,,,,,,,,,,,,,,,,LINC00511
,,,,,,,,,,,,,,,,LINC00534
,,,,,,,,,,,,,,,,LINC00535
,,,,,,,,,,,,,,,,LINC00536
,,,,,,,,,,,,,,,,LINC00539
,,,,,,,,,,,,,,,,LINC00540
,,,,,,,,,,,,,,,,LINC00571
,,,,,,,,,,,,,,,,LINC00578
,,,,,,,,,,,,,,,,LINC00582
,,,,,,,,,,,,,,,,LINC00598
,,,,,,,,,,,,,,,,LINC00601
,,,,,,,,,,,,,,,,LINC00607
,,,,,,,,,,,,,,,,LINC00609
,,,,,,,,,,,,,,,,LINC00612
,,,,,,,,,,,,,,,,LINC00639
,,,,,,,,,,,,,,,,LINC00640
,,,,,,,,,,,,,,,,LINC00645
,,,,,,,,,,,,,,,,LINC00649
,,,,,,,,,,,,,,,,LINC00836
,,,,,,,,,,,,,,,,LINC00840
,,,,,,,,,,,,,,,,LINC00844
,,,,,,,,,,,,,,,,LINC00861
,,,,,,,,,,,,,,,,LINC00862
,,,,,,,,,,,,,,,,LINC00865
,,,,,,,,,,,,,,,,LINC00870
,,,,,,,,,,,,,,,,LINC00877
,,,,,,,,,,,,,,,,LINC00880
,,,,,,,,,,,,,,,,LINC00886
,,,,,,,,,,,,,,,,LINC00891
,,,,,,,,,,,,,,,,LINC00899
,,,,,,,,,,,,,,,,LINC00906
,,,,,,,,,,,,,,,,LINC00907
,,,,,,,,,,,,,,,,LINC00910
,,,,,,,,,,,,,,,,LINC00922
,,,,,,,,,,,,,,,,LINC00923
,,,,,,,,,,,,,,,,LINC00924
,,,,,,,,,,,,,,,,LINC00926
,,,,,,,,,,,,,,,,LINC00940
,,,,,,,,,,,,,,,,LINC00944
,,,,,,,,,,,,,,,,LINC00945
,,,,,,,,,,,,,,,,LINC00958
,,,,,,,,,,,,,,,,LINC00960
,,,,,,,,,,,,,,,,LINC00972
,,,,,,,,,,,,,,,,LINC00996
,,,,,,,,,,,,,,,,LINC01010
,,,,,,,,,,,,,,,,LINC01023
,,,,,,,,,,,,,,,,LINC01036
,,,,,,,,,,,,,,,,LINC01053
,,,,,,,,,,,,,,,,LINC01060
,,,,,,,,,,,,,,,,LINC01088
,,,,,,,,,,,,,,,,LINC01090
,,,,,,,,,,,,,,,,LINC01091
,,,,,,,,,,,,,,,,LINC01094
,,,,,,,,,,,,,,,,LINC01098
,,,,,,,,,,,,,,,,LINC01099
,,,,,,,,,,,,,,,,LINC01117
,,,,,,,,,,,,,,,,LINC01122
,,,,,,,,,,,,,,,,LINC01135
,,,,,,,,,,,,,,,,LINC01137
,,,,,,,,,,,,,,,,LINC01141
,,,,,,,,,,,,,,,,LINC01146
,,,,,,,,,,,,,,,,LINC01151
,,,,,,,,,,,,,,,,LINC01170
,,,,,,,,,,,,,,,,LINC01182
,,,,,,,,,,,,,,,,LINC01189
,,,,,,,,,,,,,,,,LINC01194
,,,,,,,,,,,,,,,,LINC01197
,,,,,,,,,,,,,,,,LINC01202
,,,,,,,,,,,,,,,,LINC01208
,,,,,,,,,,,,,,,,LINC01221
,,,,,,,,,,,,,,,,LINC01222
,,,,,,,,,,,,,,,,LINC01237
,,,,,,,,,,,,,,,,LINC01239
,,,,,,,,,,,,,,,,LINC01241
,,,,,,,,,,,,,,,,LINC01250
,,,,,,,,,,,,,,,,LINC01258
,,,,,,,,,,,,,,,,LINC01266
,,,,,,,,,,,,,,,,LINC01285
,,,,,,,,,,,,,,,,LINC01291
,,,,,,,,,,,,,,,,LINC01299
,,,,,,,,,,,,,,,,LINC01301
,,,,,,,,,,,,,,,,LINC01320
,,,,,,,,,,,,,,,,LINC01322
,,,,,,,,,,,,,,,,LINC01331
,,,,,,,,,,,,,,,,LINC01340
,,,,,,,,,,,,,,,,LINC01344
,,,,,,,,,,,,,,,,LINC01356
,,,,,,,,,,,,,,,,LINC01358
,,,,,,,,,,,,,,,,LINC01363
,,,,,,,,,,,,,,,,LINC01375
,,,,,,,,,,,,,,,,LINC01376
,,,,,,,,,,,,,,,,LINC01378
,,,,,,,,,,,,,,,,LINC01410
,,,,,,,,,,,,,,,,LINC01411
,,,,,,,,,,,,,,,,LINC01416
,,,,,,,,,,,,,,,,LINC01422
,,,,,,,,,,,,,,,,LINC01445
,,,,,,,,,,,,,,,,LINC01470
,,,,,,,,,,,,,,,,LINC01476
,,,,,,,,,,,,,,,,LINC01478
,,,,,,,,,,,,,,,,LINC01480
,,,,,,,,,,,,,,,,LINC01482
,,,,,,,,,,,,,,,,LINC01483
,,,,,,,,,,,,,,,,LINC01500
,,,,,,,,,,,,,,,,LINC01504
,,,,,,,,,,,,,,,,LINC01505
,,,,,,,,,,,,,,,,LINC01508
,,,,,,,,,,,,,,,,LINC01549
,,,,,,,,,,,,,,,,LINC01550
,,,,,,,,,,,,,,,,LINC01554
,,,,,,,,,,,,,,,,LINC01568
,,,,,,,,,,,,,,,,LINC01572
,,,,,,,,,,,,,,,,LINC01591
,,,,,,,,,,,,,,,,LINC01605
,,,,,,,,,,,,,,,,LINC01608
,,,,,,,,,,,,,,,,LINC01619
,,,,,,,,,,,,,,,,LINC01625
,,,,,,,,,,,,,,,,LINGO2
,,,,,,,,,,,,,,,,LIPC
,,,,,,,,,,,,,,,,LIPE
,,,,,,,,,,,,,,,,LIPG
,,,,,,,,,,,,,,,,LITAF
,,,,,,,,,,,,,,,,LIX1
,,,,,,,,,,,,,,,,LLGL1
,,,,,,,,,,,,,,,,LLGL2
,,,,,,,,,,,,,,,,LMCD1
,,,,,,,,,,,,,,,,LMCD1-AS1
,,,,,,,,,,,,,,,,LMF1-AS1
,,,,,,,,,,,,,,,,LMNA
,,,,,,,,,,,,,,,,LMNTD1
,,,,,,,,,,,,,,,,LMO1
,,,,,,,,,,,,,,,,LMO2
,,,,,,,,,,,,,,,,LMOD1
,,,,,,,,,,,,,,,,LMX1A
,,,,,,,,,,,,,,,,LMX1B
,,,,,,,,,,,,,,,,LOXL2
,,,,,,,,,,,,,,,,LOXL3
,,,,,,,,,,,,,,,,LPAR1
,,,,,,,,,,,,,,,,LPAR3
,,,,,,,,,,,,,,,,LPAR4
,,,,,,,,,,,,,,,,LPAR5
,,,,,,,,,,,,,,,,LPAR6
,,,,,,,,,,,,,,,,LPCAT2
,,,,,,,,,,,,,,,,LPGAT1
,,,,,,,,,,,,,,,,LPIN3
,,,,,,,,,,,,,,,,LPL
,,,,,,,,,,,,,,,,LPXN
,,,,,,,,,,,,,,,,LRAT
,,,,,,,,,,,,,,,,LRCH1
,,,,,,,,,,,,,,,,LRFN5
,,,,,,,,,,,,,,,,LRIG1
,,,,,,,,,,,,,,,,LRIG3
,,,,,,,,,,,,,,,,LRP10
,,,,,,,,,,,,,,,,LRP2
,,,,,,,,,,,,,,,,LRP4
,,,,,,,,,,,,,,,,LRP4-AS1
,,,,,,,,,,,,,,,,LRRC1
,,,,,,,,,,,,,,,,LRRC32
,,,,,,,,,,,,,,,,LRRC3B
,,,,,,,,,,,,,,,,LRRC4C
,,,,,,,,,,,,,,,,LRRC63
,,,,,,,,,,,,,,,,LRRC69
,,,,,,,,,,,,,,,,LRRC74A
,,,,,,,,,,,,,,,,LRRC8A
,,,,,,,,,,,,,,,,LRRC8D
,,,,,,,,,,,,,,,,LRRFIP1
,,,,,,,,,,,,,,,,LRRK1
,,,,,,,,,,,,,,,,LRRK2
,,,,,,,,,,,,,,,,LRRN1
,,,,,,,,,,,,,,,,LRRTM4
,,,,,,,,,,,,,,,,LRTM1
,,,,,,,,,,,,,,,,LSM6
,,,,,,,,,,,,,,,,LSMEM2
,,,,,,,,,,,,,,,,LSR
,,,,,,,,,,,,,,,,LST1
,,,,,,,,,,,,,,,,LTB4R
,,,,,,,,,,,,,,,,LTBP1
,,,,,,,,,,,,,,,,LTBP2
,,,,,,,,,,,,,,,,LTBR
,,,,,,,,,,,,,,,,LTC4S
,,,,,,,,,,,,,,,,LTF
,,,,,,,,,,,,,,,,LUCAT1
,,,,,,,,,,,,,,,,LURAP1L
,,,,,,,,,,,,,,,,LURAP1L-AS1
,,,,,,,,,,,,,,,,LUZP1
,,,,,,,,,,,,,,,,LUZP2
,,,,,,,,,,,,,,,,LY86
,,,,,,,,,,,,,,,,LY86-AS1
,,,,,,,,,,,,,,,,LY96
,,,,,,,,,,,,,,,,LYL1
,,,,,,,,,,,,,,,,LYN
,,,,,,,,,,,,,,,,LYPD6
,,,,,,,,,,,,,,,,LYPD6B
,,,,,,,,,,,,,,,,LYPLAL1-AS1
,,,,,,,,,,,,,,,,LYVE1
,,,,,,,,,,,,,,,,LZTS1
,,,,,,,,,,,,,,,,LZTS1-AS1
,,,,,,,,,,,,,,,,LZTS2
,,,,,,,,,,,,,,,,MAF
,,,,,,,,,,,,,,,,MAFB
,,,,,,,,,,,,,,,,MAFF
,,,,,,,,,,,,,,,,MAFG
,,,,,,,,,,,,,,,,MAFK
,,,,,,,,,,,,,,,,MAG
,,,,,,,,,,,,,,,,MAGEC3
,,,,,,,,,,,,,,,,MAGEF1
,,,,,,,,,,,,,,,,MAGI1-AS1
,,,,,,,,,,,,,,,,MAGOH
,,,,,,,,,,,,,,,,MAGT1
,,,,,,,,,,,,,,,,MAL
,,,,,,,,,,,,,,,,MALRD1
,,,,,,,,,,,,,,,,MAMDC2
,,,,,,,,,,,,,,,,MAMDC2-AS1
,,,,,,,,,,,,,,,,MAML2
,,,,,,,,,,,,,,,,MAML3
,,,,,,,,,,,,,,,,MAN1A1
,,,,,,,,,,,,,,,,MAN2A1
,,,,,,,,,,,,,,,,MAN2B1
,,,,,,,,,,,,,,,,MAOA
,,,,,,,,,,,,,,,,MAOB
,,,,,,,,,,,,,,,,MAP3K1
,,,,,,,,,,,,,,,,MAP3K11
,,,,,,,,,,,,,,,,MAP3K14
,,,,,,,,,,,,,,,,MAP3K19
,,,,,,,,,,,,,,,,MAP3K7CL
,,,,,,,,,,,,,,,,MAP3K8
,,,,,,,,,,,,,,,,MAP4K1
,,,,,,,,,,,,,,,,MAP4K2
,,,,,,,,,,,,,,,,MAP7D3
,,,,,,,,,,,,,,,,MAPK1
,,,,,,,,,,,,,,,,MAPK4
,,,,,,,,,,,,,,,,MAPKAPK2
,,,,,,,,,,,,,,,,MAPKAPK3
,,,,,,,,,,,,,,,,MAPT-AS1
,,,,,,,,,,,,,,,,MARCKSL1
,,,,,,,,,,,,,,,,MASP1
,,,,,,,,,,,,,,,,MATN1-AS1
,,,,,,,,,,,,,,,,MATN2
,,,,,,,,,,,,,,,,MAX
,,,,,,,,,,,,,,,,MAZ
,,,,,,,,,,,,,,,,MBD1
,,,,,,,,,,,,,,,,MBD2
,,,,,,,,,,,,,,,,MBNL1-AS1
,,,,,,,,,,,,,,,,MBNL2
,,,,,,,,,,,,,,,,MBNL3
,,,,,,,,,,,,,,,,MBOAT1
,,,,,,,,,,,,,,,,MBP
,,,,,,,,,,,,,,,,MBTPS2
,,,,,,,,,,,,,,,,MCAM
,,,,,,,,,,,,,,,,MCC
,,,,,,,,,,,,,,,,MCL1
,,,,,,,,,,,,,,,,MCM3
,,,,,,,,,,,,,,,,MCM5
,,,,,,,,,,,,,,,,MCMDC2
,,,,,,,,,,,,,,,,MCOLN2
,,,,,,,,,,,,,,,,MCTP1
,,,,,,,,,,,,,,,,MCTP2
,,,,,,,,,,,,,,,,MDC1-AS1
,,,,,,,,,,,,,,,,MDFIC
,,,,,,,,,,,,,,,,MDM2
,,,,,,,,,,,,,,,,MDS2
,,,,,,,,,,,,,,,,MECOM
,,,,,,,,,,,,,,,,MECP2
,,,,,,,,,,,,,,,,MED30
,,,,,,,,,,,,,,,,MEF2A
,,,,,,,,,,,,,,,,MEF2C
,,,,,,,,,,,,,,,,MEF2D
,,,,,,,,,,,,,,,,MEGF10
,,,,,,,,,,,,,,,,MEGF11
,,,,,,,,,,,,,,,,MEI4
,,,,,,,,,,,,,,,,MEIS1
,,,,,,,,,,,,,,,,MEIS1-AS2
,,,,,,,,,,,,,,,,MEIS2
,,,,,,,,,,,,,,,,MEIS3
,,,,,,,,,,,,,,,,MELK
,,,,,,,,,,,,,,,,MEOX1
,,,,,,,,,,,,,,,,MEOX2
,,,,,,,,,,,,,,,,MEPE
,,,,,,,,,,,,,,,,MERTK
,,,,,,,,,,,,,,,,MESP1
,,,,,,,,,,,,,,,,MESP2
,,,,,,,,,,,,,,,,MET
,,,,,,,,,,,,,,,,METAP1D
,,,,,,,,,,,,,,,,METRN
,,,,,,,,,,,,,,,,METRNL
,,,,,,,,,,,,,,,,METTL14
,,,,,,,,,,,,,,,,METTL3
,,,,,,,,,,,,,,,,METTL7A
,,,,,,,,,,,,,,,,MEX3C
,,,,,,,,,,,,,,,,MFGE8
,,,,,,,,,,,,,,,,MFHAS1
,,,,,,,,,,,,,,,,MFNG
,,,,,,,,,,,,,,,,MFSD2A
,,,,,,,,,,,,,,,,MFSD4B
,,,,,,,,,,,,,,,,MGA
,,,,,,,,,,,,,,,,MGAM
,,,,,,,,,,,,,,,,MGAT1
,,,,,,,,,,,,,,,,MGAT4A
,,,,,,,,,,,,,,,,MGAT4C
,,,,,,,,,,,,,,,,MGME1
,,,,,,,,,,,,,,,,MGP
,,,,,,,,,,,,,,,,MGST1
,,,,,,,,,,,,,,,,MGST2
,,,,,,,,,,,,,,,,MIATNB
,,,,,,,,,,,,,,,,MICALL1
,,,,,,,,,,,,,,,,MID1
,,,,,,,,,,,,,,,,MID1IP1
,,,,,,,,,,,,,,,,MIDN
,,,,,,,,,,,,,,,,MIEF1
,,,,,,,,,,,,,,,,MILR1
,,,,,,,,,,,,,,,,MIOS
,,,,,,,,,,,,,,,,MIOX
,,,,,,,,,,,,,,,,MIR17HG
,,,,,,,,,,,,,,,,MIR2052HG
,,,,,,,,,,,,,,,,MIR3142HG
,,,,,,,,,,,,,,,,MIR31HG
,,,,,,,,,,,,,,,,MIR325HG
,,,,,,,,,,,,,,,,MIR34AHG
,,,,,,,,,,,,,,,,MIR3681HG
,,,,,,,,,,,,,,,,MIR4300HG
,,,,,,,,,,,,,,,,MIR4435-2HG
,,,,,,,,,,,,,,,,MIR4500HG
,,,,,,,,,,,,,,,,MIR503HG
,,,,,,,,,,,,,,,,MIR646HG
,,,,,,,,,,,,,,,,MIR924HG
,,,,,,,,,,,,,,,,MIS18BP1
,,,,,,,,,,,,,,,,MITF
,,,,,,,,,,,,,,,,MIXL1
,,,,,,,,,,,,,,,,MKNK1
,,,,,,,,,,,,,,,,MKNK1-AS1
,,,,,,,,,,,,,,,,MKRN3
,,,,,,,,,,,,,,,,MKX
,,,,,,,,,,,,,,,,MLC1
,,,,,,,,,,,,,,,,MLIP
,,,,,,,,,,,,,,,,MLKL
,,,,,,,,,,,,,,,,MLLT10
,,,,,,,,,,,,,,,,MLX
,,,,,,,,,,,,,,,,MLXIP
,,,,,,,,,,,,,,,,MLXIPL
,,,,,,,,,,,,,,,,MMD2
,,,,,,,,,,,,,,,,MME
,,,,,,,,,,,,,,,,MMP14
,,,,,,,,,,,,,,,,MMP16
,,,,,,,,,,,,,,,,MMP19
,,,,,,,,,,,,,,,,MMP21
,,,,,,,,,,,,,,,,MMP28
,,,,,,,,,,,,,,,,MMRN1
,,,,,,,,,,,,,,,,MMRN2
,,,,,,,,,,,,,,,,MMS22L
,,,,,,,,,,,,,,,,MN1
,,,,,,,,,,,,,,,,MNDA
,,,,,,,,,,,,,,,,MNT
,,,,,,,,,,,,,,,,MNX1
,,,,,,,,,,,,,,,,MOB3A
,,,,,,,,,,,,,,,,MOB3B
,,,,,,,,,,,,,,,,MOBP
,,,,,,,,,,,,,,,,MOCOS
,,,,,,,,,,,,,,,,MOG
,,,,,,,,,,,,,,,,MORC1
,,,,,,,,,,,,,,,,MORC4
,,,,,,,,,,,,,,,,MORN1
,,,,,,,,,,,,,,,,MOXD1
,,,,,,,,,,,,,,,,MPPED2
,,,,,,,,,,,,,,,,MPST
,,,,,,,,,,,,,,,,MPZL1
,,,,,,,,,,,,,,,,MR1
,,,,,,,,,,,,,,,,MRC1
,,,,,,,,,,,,,,,,MRC2
,,,,,,,,,,,,,,,,MROH9
,,,,,,,,,,,,,,,,MRPL1
,,,,,,,,,,,,,,,,MRPL2
,,,,,,,,,,,,,,,,MRPS25
,,,,,,,,,,,,,,,,MS4A14
,,,,,,,,,,,,,,,,MS4A4A
,,,,,,,,,,,,,,,,MS4A6A
,,,,,,,,,,,,,,,,MSANTD3
,,,,,,,,,,,,,,,,MSC
,,,,,,,,,,,,,,,,MSC-AS1
,,,,,,,,,,,,,,,,MSI1
,,,,,,,,,,,,,,,,MSI2
,,,,,,,,,,,,,,,,MSN
,,,,,,,,,,,,,,,,MSR1
,,,,,,,,,,,,,,,,MSRA
,,,,,,,,,,,,,,,,MSRB3
,,,,,,,,,,,,,,,,MSX1
,,,,,,,,,,,,,,,,MSX2
,,,,,,,,,,,,,,,,MT1E
,,,,,,,,,,,,,,,,MT1F
,,,,,,,,,,,,,,,,MT1G
,,,,,,,,,,,,,,,,MT1M
,,,,,,,,,,,,,,,,MT2A
,,,,,,,,,,,,,,,,MT3
,,,,,,,,,,,,,,,,MTA3
,,,,,,,,,,,,,,,,MTCP1
,,,,,,,,,,,,,,,,MTERF1
,,,,,,,,,,,,,,,,MTF1
,,,,,,,,,,,,,,,,MTF2
,,,,,,,,,,,,,,,,MTHFD1
,,,,,,,,,,,,,,,,MTHFD1L
,,,,,,,,,,,,,,,,MTHFD2
,,,,,,,,,,,,,,,,MTMR8
,,,,,,,,,,,,,,,,MTMR9LP
,,,,,,,,,,,,,,,,MTRF1
,,,,,,,,,,,,,,,,MTSS1
,,,,,,,,,,,,,,,,MTUS2
,,,,,,,,,,,,,,,,MUSK
,,,,,,,,,,,,,,,,MVP
,,,,,,,,,,,,,,,,MX1
,,,,,,,,,,,,,,,,MX2
,,,,,,,,,,,,,,,,MXD1
,,,,,,,,,,,,,,,,MXD3
,,,,,,,,,,,,,,,,MXD4
,,,,,,,,,,,,,,,,MXI1
,,,,,,,,,,,,,,,,MYB
,,,,,,,,,,,,,,,,MYBL1
,,,,,,,,,,,,,,,,MYBL2
,,,,,,,,,,,,,,,,MYBPC1
,,,,,,,,,,,,,,,,MYC
,,,,,,,,,,,,,,,,MYCL
,,,,,,,,,,,,,,,,MYCN
,,,,,,,,,,,,,,,,MYCT1
,,,,,,,,,,,,,,,,MYEF2
,,,,,,,,,,,,,,,,MYH11
,,,,,,,,,,,,,,,,MYH15
,,,,,,,,,,,,,,,,MYH16
,,,,,,,,,,,,,,,,MYH7B
,,,,,,,,,,,,,,,,MYL12A
,,,,,,,,,,,,,,,,MYL12B
,,,,,,,,,,,,,,,,MYL3
,,,,,,,,,,,,,,,,MYL6
,,,,,,,,,,,,,,,,MYL9
,,,,,,,,,,,,,,,,MYLIP
,,,,,,,,,,,,,,,,MYLK
,,,,,,,,,,,,,,,,MYNN
,,,,,,,,,,,,,,,,MYO10
,,,,,,,,,,,,,,,,MYO16
,,,,,,,,,,,,,,,,MYO16-AS1
,,,,,,,,,,,,,,,,MYO1B
,,,,,,,,,,,,,,,,MYO1C
,,,,,,,,,,,,,,,,MYO1D
,,,,,,,,,,,,,,,,MYO1E
,,,,,,,,,,,,,,,,MYO1F
,,,,,,,,,,,,,,,,MYO5B
,,,,,,,,,,,,,,,,MYO7A
,,,,,,,,,,,,,,,,MYOCD
,,,,,,,,,,,,,,,,MYOF
,,,,,,,,,,,,,,,,MYOG
,,,,,,,,,,,,,,,,MYOM1
,,,,,,,,,,,,,,,,MYOT
,,,,,,,,,,,,,,,,MYPOP
,,,,,,,,,,,,,,,,MYRF
,,,,,,,,,,,,,,,,MYRFL
,,,,,,,,,,,,,,,,MYRIP
,,,,,,,,,,,,,,,,MYT1
,,,,,,,,,,,,,,,,MZF1
,,,,,,,,,,,,,,,,MZF1-AS1
,,,,,,,,,,,,,,,,NAA11
,,,,,,,,,,,,,,,,NAALADL2-AS2
,,,,,,,,,,,,,,,,NAALADL2-AS3
,,,,,,,,,,,,,,,,NABP1
,,,,,,,,,,,,,,,,NACAD
,,,,,,,,,,,,,,,,NAGS
,,,,,,,,,,,,,,,,NALCN-AS1
,,,,,,,,,,,,,,,,NAMPT
,,,,,,,,,,,,,,,,NANOG
,,,,,,,,,,,,,,,,NANOGP8
,,,,,,,,,,,,,,,,NANOS1
,,,,,,,,,,,,,,,,NAP1L1
,,,,,,,,,,,,,,,,NAPSB
,,,,,,,,,,,,,,,,NAT8L
,,,,,,,,,,,,,,,,NBPF14
,,,,,,,,,,,,,,,,NCALD
,,,,,,,,,,,,,,,,NCAN
,,,,,,,,,,,,,,,,NCBP2
,,,,,,,,,,,,,,,,NCF2
,,,,,,,,,,,,,,,,NCF4
,,,,,,,,,,,,,,,,NCK2
,,,,,,,,,,,,,,,,NCKAP1L
,,,,,,,,,,,,,,,,NCMAP
,,,,,,,,,,,,,,,,NCOA1
,,,,,,,,,,,,,,,,NCOA2
,,,,,,,,,,,,,,,,NCOA3
,,,,,,,,,,,,,,,,NCOA7-AS1
,,,,,,,,,,,,,,,,NCOR1
,,,,,,,,,,,,,,,,NCOR2
,,,,,,,,,,,,,,,,NDC1
,,,,,,,,,,,,,,,,NDE1
,,,,,,,,,,,,,,,,NDNF
,,,,,,,,,,,,,,,,NDP
,,,,,,,,,,,,,,,,NDRG1
,,,,,,,,,,,,,,,,NDRG2
,,,,,,,,,,,,,,,,NDST3
,,,,,,,,,,,,,,,,NDST4
,,,,,,,,,,,,,,,,NDUFA4L2
,,,,,,,,,,,,,,,,NDUFB7
,,,,,,,,,,,,,,,,NDUFB9
,,,,,,,,,,,,,,,,NEAT1
,,,,,,,,,,,,,,,,NEB
,,,,,,,,,,,,,,,,NECTIN2
,,,,,,,,,,,,,,,,NEDD1
,,,,,,,,,,,,,,,,NEDD4
,,,,,,,,,,,,,,,,NEDD9
,,,,,,,,,,,,,,,,NEK3
,,,,,,,,,,,,,,,,NEK5
,,,,,,,,,,,,,,,,NEK6
,,,,,,,,,,,,,,,,NELFA
,,,,,,,,,,,,,,,,NELFB
,,,,,,,,,,,,,,,,NELL1
,,,,,,,,,,,,,,,,NELL2
,,,,,,,,,,,,,,,,NENF
,,,,,,,,,,,,,,,,NES
,,,,,,,,,,,,,,,,NET1
,,,,,,,,,,,,,,,,NETO1
,,,,,,,,,,,,,,,,NETO2
,,,,,,,,,,,,,,,,NEU4
,,,,,,,,,,,,,,,,NEURL1B
,,,,,,,,,,,,,,,,NEUROD2
,,,,,,,,,,,,,,,,NF1
,,,,,,,,,,,,,,,,NFAM1
,,,,,,,,,,,,,,,,NFAT5
,,,,,,,,,,,,,,,,NFATC1
,,,,,,,,,,,,,,,,NFATC2
,,,,,,,,,,,,,,,,NFATC3
,,,,,,,,,,,,,,,,NFATC4
,,,,,,,,,,,,,,,,NFE2
,,,,,,,,,,,,,,,,NFE2L1
,,,,,,,,,,,,,,,,NFE2L2
,,,,,,,,,,,,,,,,NFE2L3
,,,,,,,,,,,,,,,,NFE4
,,,,,,,,,,,,,,,,NFIA
,,,,,,,,,,,,,,,,NFIA-AS2
,,,,,,,,,,,,,,,,NFIB
,,,,,,,,,,,,,,,,NFIC
,,,,,,,,,,,,,,,,NFIL3
,,,,,,,,,,,,,,,,NFIX
,,,,,,,,,,,,,,,,NFKB1
,,,,,,,,,,,,,,,,NFKB2
,,,,,,,,,,,,,,,,NFKBIA
,,,,,,,,,,,,,,,,NFKBID
,,,,,,,,,,,,,,,,NFKBIZ
,,,,,,,,,,,,,,,,NFX1
,,,,,,,,,,,,,,,,NFXL1
,,,,,,,,,,,,,,,,NFYA
,,,,,,,,,,,,,,,,NFYB
,,,,,,,,,,,,,,,,NFYC
,,,,,,,,,,,,,,,,NGB
